cluster,n,m,modularity,connectivity,connectivity_normalized_log10(n),connectivity_normalized_log2(n),connectivity_normalized_sqrt(n)/5,conductance
34,503,5303,0.006984761261643773,1.0,0.3701554080932367,0.11142788089330624,0.2229389810338549,0.6408276609434793
28,503,2766,0.003757799051534981,1.0,0.3701554080932367,0.11142788089330624,0.2229389810338549,0.6270729405419981
1,502,27040,0.032693105471288085,1.0,0.3702738636791765,0.11146353957782805,0.2231609213387259,0.47051509247383416
8,501,28494,0.035525784603895716,1.0,0.37039263153446694,0.11149929226479119,0.22338352580438514,0.3922122798971876
37,500,3550,0.004823036166520123,1.0,0.3705117131325855,0.11153513939775646,0.22360679774997896,0.5773306345993571
17δ,498,6142,0.007967697019947987,1.0,0.37075082350128685,0.11160711879100983,0.22405535747411043,0.6539523353428363
15δ,497,5238,0.006729755240479818,1.0,0.370870855269162,0.11164325195357283,0.2242806520081283,0.6986191024165708
36δ,497,2513,0.0034269528512847394,1.0,0.370870855269162,0.11164325195357283,0.2242806520081283,0.6184909670563231
26,497,9101,0.011955554329682027,1.0,0.370870855269162,0.11164325195357283,0.2242806520081283,0.539353140659007
18δδ,497,3232,0.004334588589575624,1.0,0.370870855269162,0.11164325195357283,0.2242806520081283,0.6650603658220633
5δ,496,14591,0.018053552963447732,1.0,0.37099120677462954,0.1116794813667419,0.22450662753346867,0.5781362939832885
6δ,492,17800,0.021445643499531226,1.0,0.3714758408168042,0.11182537075035635,0.22541740866685805,0.575173928089834
23δ,492,8522,0.011235403760852044,1.0,0.3714758408168042,0.11182537075035635,0.22541740866685805,0.5410507041495005
21δδ,490,7700,0.00981317468155898,1.0,0.37172011639738944,0.11189890502732074,0.22587697572631282,0.6503178928247049
0δ,488,30651,0.0355471242462371,1.0,0.3719657145122001,0.11197283742675725,0.22633936510629632,0.49816627918399425
25δδ,488,10827,0.012528523570987885,1.0,0.3719657145122001,0.11197283742675725,0.22633936510629632,0.7033495444893486
2δ,483,11304,0.014709085266738383,1.0,0.3725855805959924,0.11215943571127349,0.227507877596645,0.520925600220381
30δδ,478,6582,0.00872639371872407,1.0,0.37321399887804585,0.11234860846399522,0.2286946768731741,0.5763388259526262
33δδ,478,6519,0.008792889589559904,1.0,0.37321399887804585,0.11234860846399522,0.2286946768731741,0.488184030776478
16δ,475,3133,0.0040173430507779275,1.0,0.3735952431777009,0.1124633744338673,0.22941573387056174,0.7694882831181253
10δ,472,5160,0.006522378698011328,1.0,0.37397969010203785,0.1125791044898335,0.23014365447458088,0.7251444855780754
27δ,470,31351,0.04025505709363554,1.0,0.3742377911161279,0.11265680063698591,0.23063280200722128,0.26522528856858263
20δδ,454,7965,0.010275436897240498,1.0,0.3763564092658085,0.11329456824939788,0.234661627231966,0.6193275503620331
11δ,441,8829,0.011446420100341366,1.0,0.3781520977582005,0.1138351243484765,0.23809523809523808,0.5867346938775511
24δbnopδanopδanopδdnopδ,2,1,1.3969659309905163e-06,1.0,3.321928094887362,1.0,3.5355339059327378,0.9333333333333333
24δbnopδanopδenopδ,2,1,1.3108788308486356e-06,1.0,3.321928094887362,1.0,3.5355339059327378,0.995249406175772
Overall,19081,715612,0.3315701695682587,,,,,
